Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
7,sáb,2018-05-26,19:00,Palmeiras,2–3,Sport Recife,25.947,Allianz Parque
7,dom,2018-05-27,11:00,Paraná,0–0,Ath Paranaense,6.446,Estádio Durival de Brito e Silva
7,dom,2018-05-27,16:00,Santos,0–1,Cruzeiro,10.670,Estádio Urbano Caldeira
7,dom,2018-05-27,16:00,Bahia,3–0,Vasco da Gama,15.031,Itaipava Arena Fonte Nova
7,dom,2018-05-27,16:00,Botafogo (RJ),1–1,Vitória,5.857,Estádio Nilton Santos
7,dom,2018-05-27,16:00,Internacional,2–1,Corinthians,28.627,Estádio José Pinheiro Borba
7,dom,2018-05-27,19:00,Ceará,0–1,Grêmio,14.995,Estádio Castelão
7,dom,2018-05-27,19:00,América (MG),1–3,São Paulo,4.360,Estádio Raimundo Sampaio
7,sáb,2018-05-26,21:00,Atlético Mineiro,0–1,Flamengo,15.797,Estádio Raimundo Sampaio
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
,,,,,,,,
8,qua,2018-05-30,19:30,Vasco da Gama,1–0,Paraná,4.584,Estádio Club de Regatas Vasco da Gama
8,qua,2018-05-30,19:30,Vitória,2–3,Internacional,5.591,Estádio Manoel Barradas
8,qua,2018-05-30,19:30,Sport Recife,3–2,Atlético Mineiro,15.605,Estádio Adelmar da Costa Carvalho
8,qui,2018-05-31,16:00,Flamengo,2–0,Bahia,55.382,Estádio Luso-Brasileiro
8,qui,2018-05-31,18:00,Corinthians,1–0,América (MG),34.921,Arena Corinthians
8,qua,2018-05-30,21:00,São Paulo,3–2,Botafogo (RJ),25.427,Estádio do Morumbi
8,qua,2018-05-30,21:00,Chapecoense,2–0,Ceará,7.015,Arena Condá
8,qua,2018-05-30,21:45,Grêmio,0–0,Fluminense,18.149,Arena do Grêmio
8,qua,2018-05-30,21:45,Cruzeiro,1–0,Palmeiras,19.679,Estádio Governador Magalhães Pinto
8,qui,2018-05-31,21:00,Ath Paranaense,2–0,Santos,8.204,Estádio Joaquim Américo Guimarães
,,,,,,,,
9,sáb,2018-06-02,16:00,Internacional,0–0,Sport Recife,28.320,Estádio José Pinheiro Borba
9,sáb,2018-06-02,16:00,Atlético Mineiro,3–3,Chapecoense,10.298,Estádio Raimundo Sampaio
9,sáb,2018-06-02,19:00,Vasco da Gama,1–2,Botafogo (RJ),9.454,Estádio Club de Regatas Vasco da Gama
9,dom,2018-06-03,16:00,Flamengo,1–0,Corinthians,49.222,Estádio Luso-Brasileiro
9,dom,2018-06-03,16:00,Bahia,0–2,Grêmio,15.623,Itaipava Arena Fonte Nova
9,dom,2018-06-03,16:00,Santos,5–2,Vitória,3.887,Estádio Urbano Caldeira
9,dom,2018-06-03,16:00,América (MG),3–1,Ath Paranaense,4.679,Estádio Raimundo Sampaio
9,dom,2018-06-03,19:00,Ceará,0–1,Cruzeiro,15.234,Estádio Castelão
9,sáb,2018-06-02,21:00,Palmeiras,3–1,São Paulo,32.841,Allianz Parque
9,seg,2018-06-04,20:00,Paraná,2–1,Fluminense,3.491,Estádio Durival de Brito e Silva
,,,,,,,,
10,qua,2018-06-06,19:30,Botafogo (RJ),0–0,Ceará,8.825,Estádio Nilton Santos
10,qua,2018-06-06,19:30,Vitória,1–0,Chapecoense,5.256,Estádio Manoel Barradas
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
10,ter,2018-06-05,21:30,São Paulo,0–0,Internacional,14.730,Estádio do Morumbi
10,qui,2018-06-07,20:00,Fluminense,0–2,Flamengo,60.000,Estadio Jornalista Mário Filho
10,qui,2018-06-07,20:00,Paraná,1–0,Bahia,4.153,Estádio Durival de Brito e Silva
10,qua,2018-06-06,21:00,Sport Recife,1–0,Ath Paranaense,13.349,Estádio Adelmar da Costa Carvalho
10,qua,2018-06-06,21:00,Corinthians,1–1,Santos,27.586,Arena Corinthians
10,qua,2018-06-06,21:45,Grêmio,0–2,Palmeiras,26.556,Arena do Grêmio
10,qua,2018-06-06,21:45,Cruzeiro,1–1,Vasco da Gama,23.725,Estádio Governador Magalhães Pinto
10,qui,2018-06-07,21:00,América (MG),1–3,Atlético Mineiro,7.776,Estádio Raimundo Sampaio
,,,,,,,,
11,sáb,2018-06-09,16:00,Ath Paranaense,0–1,São Paulo,8.257,Estádio Joaquim Américo Guimarães
11,sáb,2018-06-09,19:00,Chapecoense,2–0,Cruzeiro,6.637,Arena Condá
11,sáb,2018-06-09,19:00,Vasco da Gama,3–2,Sport Recife,8.418,Estádio Club de Regatas Vasco da Gama
11,dom,2018-06-10,16:00,Ceará,2–2,Palmeiras,32.732,Estádio Castelão
11,dom,2018-06-10,16:00,Bahia,3–3,Botafogo (RJ),12.478,Itaipava Arena Fonte Nova
11,dom,2018-06-10,16:00,Atlético Mineiro,5–2,Fluminense,14.476,Estádio Raimundo Sampaio
11,dom,2018-06-10,16:00,Grêmio,1–0,América (MG),12.953,Arena do Grêmio
11,dom,2018-06-10,19:00,Flamengo,2–0,Paraná,59.488,Estádio Luso-Brasileiro
11,dom,2018-06-10,19:00,Santos,1–2,Internacional,8.124,Estádio Urbano Caldeira
11,sáb,2018-06-09,21:00,Corinthians,0–0,Vitória,27.744,Arena Corinthians
,,,,,,,,
12,qua,2018-06-13,16:00,América (MG),0–0,Chapecoense,4.894,Estádio Raimundo Sampaio
12,qua,2018-06-13,19:00,Fluminense,0–1,Santos,7.438,Estadio Jornalista Mário Filho
12,qua,2018-06-13,19:30,Paraná,1–1,Cruzeiro,5.131,Estádio Durival de Brito e Silva
12,qua,2018-06-13,19:30,Sport Recife,0–0,Grêmio,14.430,Estádio Adelmar da Costa Carvalho
12,ter,2018-06-12,21:30,São Paulo,3–0,Vitória,20.456,Estádio do Morumbi
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
12,qua,2018-06-13,21:00,Botafogo (RJ),2–0,Ath Paranaense,10.965,Estádio Nilton Santos
12,qua,2018-06-13,21:00,Palmeiras,1–1,Flamengo,36.882,Allianz Parque
12,qua,2018-06-13,21:45,Bahia,1–0,Corinthians,15.041,Itaipava Arena Fonte Nova
12,qua,2018-06-13,21:45,Atlético Mineiro,2–1,Ceará,22.119,Estádio Raimundo Sampaio
12,qua,2018-06-13,21:45,Internacional,3–1,Vasco da Gama,19.733,Estádio José Pinheiro Borba
,,,,,,,,
13,qua,2018-07-18,19:30,Ceará,1–0,Sport Recife,15.197,Estádio Castelão
13,qui,2018-07-19,19:30,Cruzeiro,3–1,América (MG),17.956,Estádio Governador Magalhães Pinto
13,qui,2018-07-19,19:30,Chapecoense,1–1,Bahia,7.534,Arena Condá
13,qui,2018-07-19,20:00,Vasco da Gama,1–1,Fluminense,11.901,Estádio Club de Regatas Vasco da Gama
13,qui,2018-07-19,20:00,Santos,1–1,Palmeiras,26.417,Estádio Urbano Caldeira
13,qua,2018-07-18,21:00,Vitória,1–0,Paraná,6.358,Estádio Manoel Barradas
13,qua,2018-07-18,21:45,Grêmio,2–0,Atlético Mineiro,20.311,Arena do Grêmio
13,qua,2018-07-18,21:45,Corinthians,2–0,Botafogo (RJ),19.830,Arena Corinthians
13,qua,2018-07-18,21:45,Flamengo,0–1,São Paulo,55.986,Estádio Luso-Brasileiro
13,qui,2018-07-19,21:00,Ath Paranaense,2–2,Internacional,8.184,Estádio Joaquim Américo Guimarães
,,,,,,,,
14,sáb,2018-07-21,19:00,Flamengo,2–0,Botafogo (RJ),42.182,Estádio Luso-Brasileiro
14,dom,2018-07-22,16:00,Sport Recife,1–2,Fluminense,11.119,Estádio Adelmar da Costa Carvalho
14,dom,2018-07-22,16:00,Bahia,4–1,Vitória,24.312,Itaipava Arena Fonte Nova
14,dom,2018-07-22,16:00,Vasco da Gama,1–0,Grêmio,8.242,Estádio Club de Regatas Vasco da Gama
14,dom,2018-07-22,16:00,Palmeiras,3–2,Atlético Mineiro,29.246,Allianz Parque
14,dom,2018-07-22,16:00,Paraná,1–0,América (MG),3.217,Estádio Durival de Brito e Silva
14,dom,2018-07-22,19:00,Chapecoense,0–0,Santos,7.100,Arena Condá
14,dom,2018-07-22,19:00,Cruzeiro,2–1,Ath Paranaense,15.023,Estádio Governador Magalhães Pinto
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local
14,sáb,2018-07-21,21:00,São Paulo,3–1,Corinthians,58.624,Estádio do Morumbi
14,seg,2018-07-23,20:00,Internacional,1–0,Ceará,21.013,Estádio José Pinheiro Borba
,,,,,,,,
15,qua,2018-07-25,19:30,Fluminense,1–0,Palmeiras,22.827,Estadio Jornalista Mário Filho
15,qui,2018-07-26,19:30,Vitória,1–0,Sport Recife,5.706,Estádio Manoel Barradas
15,qui,2018-07-26,19:30,Botafogo (RJ),1–0,Chapecoense,7.602,Estádio Nilton Santos
15,qui,2018-07-26,19:30,Grêmio,2–1,São Paulo,19.865,Arena do Grêmio
15,qui,2018-07-26,20:00,América (MG),2–1,Internacional,4.625,Estádio Raimundo Sampaio
15,qua,2018-07-25,21:00,Atlético Mineiro,2–0,Paraná,18.948,Estádio Raimundo Sampaio
15,qua,2018-07-25,21:45,Santos,1–1,Flamengo,11.843,Estádio Urbano Caldeira
15,qua,2018-07-25,21:45,Corinthians,2–0,Cruzeiro,21.031,Arena Corinthians
,,,,,,,,
16,sáb,2018-07-28,16:00,Ceará,1–0,Fluminense,11.119,Estádio Castelão
16,dom,2018-07-29,11:00,Palmeiras,3–0,Paraná,35.776,Allianz Parque
